Report_Version:1.0.9.4,Project_Name : DIT_NewMember_Demo_version
ITEM,STATUS,VALUE,UCL,LCL,RESULT,SPEC_NAME,DATE_TIME,OBJ_NAME,COMMENT,OTHERS
Flare,1,0,0,0,Pass,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 143128
left-up,1,66.724405,0,0,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 143128
left,1,66.064639,0,0,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 143128
left-down,1,64.145337,0,0,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 143128
right-up,1,70.940546,0,0,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 143128
right,1,75.660224,0,0,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 143128
right-down,1,79.159039,0,0,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 143128
up,1,79.243438,0,0,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 143128
mid,1,77.539571,0,0,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 143128
down,1,74.658728,0,0,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 143128
Shading_FileName,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\flare.jpg
Shading_DrawImg,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\ASUS_Camera_Reports_DLL\20200918\TFXXXT_0056\TFXXXT_0056-20200918143128-Pass-Flare-Debug.jpg
