Report_Version:1.0.9.4,Project_Name : DIT_NewMember_Demo_version
ITEM,STATUS,VALUE,UCL,LCL,RESULT,SPEC_NAME,DATE_TIME,OBJ_NAME,COMMENT,OTHERS
Shading,1,0,0,0,Fail,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144349
Yc,1,138.442810,180,140,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144349
Y1,1,131.947530,0,16,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144349
Y2,1,129.842367,0,16,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144349
Y3,1,132.240499,0,16,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144349
Y4,1,133.581441,0,16,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144349
Diff,1,4.000000,10,0,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144349
Shading_FileName,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\FLARE.JPG
Shading_DrawImg,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\ASUS_Camera_Reports_DLL\20200918\TFXXXT_0056\TFXXXT_0056-20200918144349-Fail-Shading-Debug.jpg
