Report_Version:1.0.9.4,Project_Name : DIT_NewMember_Demo_version
ITEM,STATUS,VALUE,UCL,LCL,RESULT,SPEC_NAME,DATE_TIME,OBJ_NAME,COMMENT,OTHERS
Flare,1,0,0,0,Fail,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144057
left-up,1,66.724405,84,0,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144057
left,1,66.064639,84,0,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144057
left-down,1,64.145337,84,0,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144057
right-up,1,70.940546,84,0,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144057
right,1,75.660224,84,0,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144057
right-down,1,79.159039,84,0,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144057
up,1,79.243438,84,0,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144057
mid,1,77.539571,84,0,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144057
down,1,74.658728,84,0,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200918 144057
Shading_FileName,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\FLARE.JPG
Shading_DrawImg,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\ASUS_Camera_Reports_DLL\20200918\TFXXXT_0056\TFXXXT_0056-20200918144056-Fail-Flare-Debug.jpg
