Report_Version:1.0.9.4,Project_Name : DIT_NewMember_Demo_version
ITEM,STATUS,VALUE,UCL,LCL,RESULT,SPEC_NAME,DATE_TIME,OBJ_NAME,COMMENT,OTHERS
Flare,1,0,0,0,Fail,DataSetDITCameraTestAppCameraSpec.spe,20200918102714
left-up,1,66.724405,85,0,FAIL,DataSetDITCameraTestAppCameraSpec.spe,20200918102714
left,1,66.064639,85,0,FAIL,DataSetDITCameraTestAppCameraSpec.spe,20200918102714
left-down,1,64.145337,85,0,FAIL,DataSetDITCameraTestAppCameraSpec.spe,20200918102714
right-up,1,70.940546,85,0,FAIL,DataSetDITCameraTestAppCameraSpec.spe,20200918102714
right,1,75.660224,85,0,FAIL,DataSetDITCameraTestAppCameraSpec.spe,20200918102714
right-down,1,79.159039,85,0,FAIL,DataSetDITCameraTestAppCameraSpec.spe,20200918102714
up,1,79.243438,85,0,FAIL,DataSetDITCameraTestAppCameraSpec.spe,20200918102714
mid,1,77.539571,85,0,FAIL,DataSetDITCameraTestAppCameraSpec.spe,20200918102714
down,1,74.658728,85,0,FAIL,DataSetDITCameraTestAppCameraSpec.spe,20200918102714
Shading_FileName,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\FLARE.JPG
Shading_DrawImg,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\ASUS_Camera_Reports_DLL\20200918\TFXXXT_0000\TFXXXT_0000-20200918102714-Fail-Flare-Debug.jpg
