Report_Version:1.0.9.4,Project_Name : DIT_NewMember_Demo_version,,,,,,,,,
ITEM,STATUS,VALUE,UCL,LCL,RESULT,SPEC_NAME,DATE_NAME,OBJ_NAME,COMMENT,OTHERS
Shading,1,0,0,0,Fail,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104532,OBJ_NAME,COMMENT,OTHERS
Yc,1,148.939531,180,140,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104532, , , 
Y1,1,93.699240,110,16,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104532, , , 
Y2,1,39.301185,110,16,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104532, , , 
Y3,1,96.906672,110,16,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104532, , , 
Y4,1,75.786209,110,16,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104532, , , 
Diff,1,57.000000,10,0,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104532, , , 
Shading_FileName,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\.\test_pic\shading.jpg
Shading_FileName,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\ASUS_Camera_Reports_DLL\20200923\TFXXXT_0000\TFXXXT_0000-20200923104531-Fail-Shading-Debug.jpg
