Report_Version:1.0.9.4,Project_Name : DIT_NewMember_Demo_version,,,,,,,,,
ITEM,STATUS,VALUE,UCL,LCL,RESULT,SPEC_NAME,DATE_NAME,OBJ_NAME,COMMENT,OTHERS
Shading,1,0,0,0,Fail,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104817,OBJ_NAME,COMMENT,OTHERS
Yc,1,148.939531,220,100,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104817, , , 
Y1,1,93.699240,110,74,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104817, , , 
Y2,1,39.301185,110,74,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104817, , , 
Y3,1,96.906672,110,74,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104817, , , 
Y4,1,75.786209,110,74,PASS,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104817, , , 
Diff,1,57.000000,20,0,FAIL,DataSet\DITCameraTestApp\CameraSpec.spe,20200923 104817, , , 
Shading_FileName,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\.\test_pic\shading.jpg
Shading_FileName,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\ASUS_Camera_Reports_DLL\20200923\TFXXXT_0000\TFXXXT_0000-20200923104817-Fail-Shading-Debug.jpg
