Report_Version:0.0.0.1,Project_Name : DIT_NewMember_Demo_version
ITEM,STATUS,VALUE,UCL,LCL,RESULT,SPEC_NAME,DATE_TIME,OBJ_NAME,COMMENT,OTHERS
Blemish,1,0,0,0,Pass,DataSetDITCameraTestAppCameraSpec.spe,20200917161502
Blemish_FileName,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\blemishOK.JPG
Blemish_DrawImg,0,0,0,0,PASS,,,,,C:\Users\henry4_lin\source\repos\opencv_try\x64\Release\ASUS_Camera_Reports_DLL\20200917\TFXXXT_0000\TFXXXT_0000-20200917161502-Pass-Blemish-Debug.jpg
